Receita   ,PA/Exerc  ,Dt. Vcto  ,Vl.Original,Sdo.Devedor,Situação
1176-01 - CP-TERCEIROS,08/2023,20/09/2023,"93,58","93,58",DEVEDOR
1176-01 - CP-TERCEIROS,09/2023,20/10/2023,"89,53","89,53",DEVEDOR
1176-01 - CP-TERCEIROS,10/2023,17/11/2023,"101,49","101,49",DEVEDOR
1176-01 - CP-TERCEIROS,11/2023,20/12/2023,"101,24","101,24",DEVEDOR
1176-01 - CP-TERCEIROS,12/2023,19/01/2024,"130,18","130,18",DEVEDOR
1181-01 - CP-TERCEIROS,08/2019,20/09/2019,"890,16","2,23",DEVEDOR
1181-01 - CP-TERCEIROS,03/2023,20/04/2023,"449,85","449,85",DEVEDOR
1181-01 - CP-TERCEIROS,04/2023,19/05/2023,"477,69","477,69",DEVEDOR
1181-01 - CP-TERCEIROS,05/2023,20/06/2023,"444,79","444,79",DEVEDOR
1181-01 - CP-TERCEIROS,06/2023,20/07/2023,"447,17","447,17",DEVEDOR
1181-01 - CP-TERCEIROS,07/2023,18/08/2023,"451,20","451,20",DEVEDOR
1181-01 - CP-TERCEIROS,08/2023,20/09/2023,"467,91","467,91",DEVEDOR
1181-01 - CP-TERCEIROS,09/2023,20/10/2023,"447,67","447,67",DEVEDOR
1181-01 - CP-TERCEIROS,10/2023,17/11/2023,"507,45","507,45",DEVEDOR
1181-01 - CP-TERCEIROS,11/2023,20/12/2023,"506,23","506,23",DEVEDOR
1181-01 - CP-TERCEIROS,12/2023,19/01/2024,"650,92","650,92",DEVEDOR
1184-01 - CP-TERCEIROS,08/2019,20/09/2019,"1.335,25","3,35",DEVEDOR
1184-01 - CP-TERCEIROS,03/2023,20/04/2023,"674,78","674,78",DEVEDOR
1184-01 - CP-TERCEIROS,04/2023,19/05/2023,"716,54","716,54",DEVEDOR
1184-01 - CP-TERCEIROS,05/2023,20/06/2023,"667,19","667,19",DEVEDOR
1184-01 - CP-TERCEIROS,06/2023,20/07/2023,"670,76","670,76",DEVEDOR
1184-01 - CP-TERCEIROS,07/2023,18/08/2023,"676,80","676,80",DEVEDOR
1184-01 - CP-TERCEIROS,08/2023,20/09/2023,"701,87","701,87",DEVEDOR
1184-01 - CP-TERCEIROS,09/2023,20/10/2023,"671,51","671,51",DEVEDOR
1184-01 - CP-TERCEIROS,10/2023,17/11/2023,"761,17","761,17",DEVEDOR
1184-01 - CP-TERCEIROS,11/2023,20/12/2023,"759,34","759,34",DEVEDOR
1184-01 - CP-TERCEIROS,12/2023,19/01/2024,"976,39","976,39",DEVEDOR
1200-01 - CP-TERCEIROS,08/2019,20/09/2019,"534,10","1,34",DEVEDOR
1200-01 - CP-TERCEIROS,03/2023,20/04/2023,"269,91","269,91",DEVEDOR
1200-01 - CP-TERCEIROS,04/2023,19/05/2023,"286,61","286,61",DEVEDOR
1200-01 - CP-TERCEIROS,05/2023,20/06/2023,"266,87","266,87",DEVEDOR
1200-01 - CP-TERCEIROS,06/2023,20/07/2023,"268,30","268,30",DEVEDOR
1200-01 - CP-TERCEIROS,07/2023,18/08/2023,"270,72","270,72",DEVEDOR
1200-01 - CP-TERCEIROS,08/2023,20/09/2023,"280,74","280,74",DEVEDOR
1200-01 - CP-TERCEIROS,09/2023,20/10/2023,"268,60","268,60",DEVEDOR
1200-01 - CP-TERCEIROS,10/2023,17/11/2023,"304,47","304,47",DEVEDOR
1200-01 - CP-TERCEIROS,11/2023,20/12/2023,"303,73","303,73",DEVEDOR
1200-01 - CP-TERCEIROS,12/2023,19/01/2024,"390,55","390,55",DEVEDOR
